0 length 11513;
0 note 60 100;
0 note 67 100;
1 note 63 100;
2753 note 67 0;
2785 note 63 0;
2797 note 60 0;
2899 note 67 100;
2904 note 70 100;
2916 note 74 100;
5563 note 70 0;
5564 note 67 0;
5594 note 74 0;
5774 note 74 100;
5781 note 68 100;
5784 note 65 100;
8181 note 65 0;
8205 note 68 0;
8250 note 74 0;
8643 note 67 100;
8651 note 63 100;
8653 note 70 100;
8660 note 75 100;
10651 note 75 0;
10732 note 80 100;
11137 note 80 0;
11170 note 79 100;
11304 note 79 0;
