0 length 5745;
0 note 80 100;
101 note 80 0;
353 note 79 100;
454 note 79 0;
711 note 77 100;
793 note 77 0;
1228 note 79 100;
1334 note 79 0;
1618 note 79 100;
1721 note 79 0;
1959 note 79 100;
2081 note 79 0;
2330 note 79 100;
2448 note 79 0;
2888 note 80 100;
3006 note 80 0;
3237 note 79 100;
3348 note 79 0;
3575 note 77 100;
3645 note 77 0;
4125 note 82 100;
4241 note 82 0;
4490 note 82 100;
4583 note 82 0;
4824 note 80 100;
4927 note 80 0;
5191 note 79 100;
5262 note 79 0;
