0 length 9278;
0 note 60 100;
336 note 60 0;
341 note 74 100;
532 note 74 0;
539 note 75 100;
673 note 75 0;
884 note 74 100;
1046 note 74 0;
1240 note 72 100;
1409 note 72 0;
1421 note 74 100;
1572 note 74 0;
1778 note 74 100;
2011 note 74 0;
2091 note 60 100;
2490 note 74 100;
2510 note 60 0;
2703 note 75 100;
2709 note 74 0;
2835 note 75 0;
3044 note 75 100;
3155 note 75 0;
3415 note 75 100;
3532 note 75 0;
3590 note 77 100;
3749 note 77 0;
3766 note 75 100;
3935 note 75 0;
3943 note 74 100;
4181 note 74 0;
4277 note 60 100;
4637 note 74 100;
4652 note 60 0;
4830 note 74 0;
4832 note 75 100;
4973 note 75 0;
5177 note 75 100;
5320 note 75 0;
5564 note 74 100;
5709 note 74 0;
5785 note 72 100;
5912 note 72 0;
6115 note 72 100;
6212 note 72 0;
6463 note 70 100;
6636 note 70 0;
6829 note 70 100;
6978 note 70 0;
7187 note 68 100;
7353 note 68 0;
7355 note 70 100;
7495 note 70 0;
7754 note 72 100;
7881 note 72 0;
8104 note 72 100;
8244 note 72 0;
8470 note 72 100;
8543 note 72 0;
8640 note 72 100;
8809 note 72 0;
8984 note 72 100;
9093 note 72 0;
