0 length 1900;
0 note 62 100;
0 note 62 0;
0 note 60 0;
89 note 62 100;
89 note 60 100;
90 note 62 0;
179 note 62 0;
179 note 62 100;
269 note 62 0;
269 note 60 0;
269 note 62 100;
359 note 62 100;
359 note 60 100;
360 note 62 0;
449 note 70 100;
449 note 62 100;
450 note 62 0;
539 note 62 100;
540 note 62 0;
540 note 60 0;
629 note 62 100;
629 note 60 100;
630 note 70 0;
630 note 62 0;
719 note 62 0;
719 note 62 100;
809 note 62 0;
809 note 60 0;
809 note 62 100;
899 note 62 100;
899 note 60 100;
900 note 62 0;
989 note 62 100;
990 note 62 0;
1079 note 62 100;
1080 note 62 0;
1080 note 60 0;
1169 note 62 100;
1169 note 60 100;
1170 note 62 0;
1259 note 62 0;
1259 note 62 100;
1349 note 62 0;
1349 note 60 0;
1349 note 62 100;
1439 note 62 100;
1439 note 60 100;
1440 note 62 0;
1529 note 62 100;
1530 note 62 0;
1619 note 62 100;
1620 note 62 0;
1620 note 60 0;
1709 note 62 100;
1709 note 60 100;
1710 note 62 0;
1799 note 62 0;
1799 note 62 100;
1889 note 62 0;
1889 note 60 0;
1889 note 70 100;
1889 note 62 100;
