0 length 11373;
0 note 73 100;
71 note 73 0;
336 note 78 100;
431 note 78 0;
663 note 80 100;
753 note 80 0;
1029 note 73 100;
1115 note 73 0;
1407 note 78 100;
1496 note 78 0;
1763 note 80 100;
1834 note 80 0;
2097 note 73 100;
2191 note 73 0;
2454 note 78 100;
2550 note 78 0;
2804 note 80 100;
2893 note 80 0;
3171 note 73 100;
3272 note 73 0;
3554 note 76 100;
3672 note 76 0;
3874 note 78 100;
3966 note 78 0;
4208 note 71 100;
4343 note 71 0;
4612 note 73 100;
4738 note 73 0;
4996 note 76 100;
5063 note 76 0;
5347 note 78 100;
5442 note 78 0;
5719 note 73 100;
5830 note 73 0;
6074 note 78 100;
6158 note 78 0;
6414 note 80 100;
6496 note 80 0;
6826 note 73 100;
6945 note 73 0;
7172 note 78 100;
7276 note 78 0;
7540 note 80 100;
7627 note 80 0;
7892 note 73 100;
8008 note 73 0;
8240 note 78 100;
8331 note 78 0;
8578 note 80 100;
8655 note 80 0;
8947 note 73 100;
9051 note 73 0;
9313 note 76 100;
9407 note 76 0;
9638 note 78 100;
9722 note 78 0;
10055 note 71 100;
10154 note 71 0;
10410 note 78 100;
10501 note 78 0;
10754 note 76 100;
10843 note 76 0;
10847 note 76 100;
10849 note 76 0;
11101 note 83 100;
11184 note 83 0;
