0 length 11461;
0 note 72 100;
272 note 72 0;
1204 note 75 100;
1389 note 75 0;
2881 note 74 100;
2957 note 74 0;
4154 note 77 100;
4264 note 77 0;
4983 note 75 100;
5098 note 75 0;
5757 note 72 100;
5837 note 72 0;
7020 note 75 100;
7117 note 75 0;
8602 note 74 100;
8688 note 74 0;
9932 note 68 100;
10070 note 68 0;
10260 note 68 100;
10364 note 68 0;
10586 note 67 100;
10706 note 67 0;
10956 note 67 100;
11051 note 67 0;
