0 length 5749;
0 note 60 100;
0 note 67 100;
6 note 63 100;
1433 note 67 0;
1434 note 60 0;
1438 note 63 0;
1442 note 68 100;
1455 note 65 100;
1455 note 72 100;
2860 note 65 0;
2869 note 63 100;
2871 note 67 100;
2877 note 72 0;
2885 note 60 100;
2887 note 68 0;
4323 note 67 0;
4335 note 60 0;
4345 note 74 100;
4348 note 65 100;
4350 note 63 0;
4356 note 70 100;
5738 note 74 0;
