0 length 2676;
0 note 60 100;
208 note 60 0;
346 note 61 100;
553 note 61 0;
659 note 60 100;
777 note 60 0;
839 note 60 100;
908 note 60 0;
1003 note 61 100;
1238 note 61 0;
1349 note 60 100;
1503 note 60 0;
1674 note 61 100;
1878 note 61 0;
2014 note 60 100;
2093 note 60 0;
2170 note 62 100;
2275 note 62 0;
2332 note 61 100;
2558 note 61 0;
